,crash_type,report_made,date_time,case_number,district,location,road_type,ticket_arrest,citation_to,biker_gender,biker_city_of_residence,biker_zip_code,driver_gender,driver_city_res,driver_zip_code,injury_to_biker,level_of_injury_to_biker,biker_to_hospital,location_1,count,:@computed_region_jitf_9zyt,:@computed_region_dysk_fpxp,ped_age,ped_gender,ped_city_res,ped_zip_code,injury_to_pedestrian,level_of_injury_to_ped,pedestrian_to_hospital,lanes_of_traffic,signal_present,speed_limit,synopsis,driver_age,biker_age
17,Pedestrian,Yes,2018-12-11T15:15:00.000,18-281094,Western District,Englewood Ave W & Snelling Ave N,City,No,None,,,,Male,St. Paul,55104,,,,"{'latitude': '44.96405576', 'longitude': '-93.16597873'}",1,4,4,67,Female,Roseville,55113,Yes,Suspected Minor Injury,Yes,2,Yes,30,"Pedestrian as crossnig mid block, w of snelling.  Vehicle was EB and struck the pedestrian.  Vehicle fled scene.",84,
18,Ped2,,2019-01-04T17:46:01.000,19-002855,,,,,,,,,,,,,,,,1,,,22,Female,St. Paul,55119,Yes,Suspected Serious Injury,Yes,,,,Statistics for 2nd Pedestrian that was struck in 19-002855,,
19,Pedestrian,Yes,2019-01-16T12:00:00.000,19-011516,Central District,7 St E & Wall St,State - Trunk Highway,Yes,Driver,,,,Male,St. Paul,55101,,,,"{'latitude': '44.95150931', 'longitude': '-93.0873865'}",1,12,5,55,Male,St. Paul,55101,Yes,Suspected Serious Injury,Yes,4,Yes,30,Hit and Run crash involving a pedestrian.  Serious injuries.  Investigation revealed who the driver was.  Driver charged with several offenses.,64,
20,Pedestrian,Yes,2019-04-20T23:37:00.000,19-081056,Western District,Snelling & St Anthony,County - State Aid Highway,No,None,,,,Male,Minneapolis,55403,,,,"{'latitude': '44.95118208', 'longitude': '-93.16726207'}",1,17,4,38,Male,St. Paul,55101,Yes,Suspected Serious Injury,Yes,4,Yes,30,"DRIVER1 was traveling SB on Snelling, crossing Concordia when PED1 suddenly darted out in front of his car causing DRIVER1 to strike PED1. PED1 was transported to Regions by St. Paul Fire with serious but not life-threatening injuries.  DRIVER1 was not injured.",29,
21,Pedestrian,Yes,2019-05-10T18:30:00.000,19-096946,Central District,244 7 st w,State - Trunk Highway,No,None,,,,Male,Inver Grove Heights,55076,,,,"{'latitude': '44.94210944', 'longitude': '-93.10585989'}",1,11,5,20,Male,Woodbury,55125,No,None,No,4,No,30,"ped wasa valet, opening door for customer when struck by vehicle in the street.",80,
22,Pedestrian,Yes,2019-05-14T19:59:00.000,19-100123,Central District,531 Rice St,Private,No,None,,,,Female,St. Paul,55104,,,,"{'latitude': '44.95703771', 'longitude': '-93.10602246'}",1,10,7,54,Female,St. Paul,55106,No,None,No,Parking Lot,No,10,"backing in parking lot, struck ped",55,
23,Pedestrian,Yes,2018-01-30T18:44:00.000,18-020943,Central District,Plato Bd & Wabasha,County - State Aid Highway,Yes,Driver,,,,Male,St. Paul,55117,,,,"{'latitude': '44.93753445', 'longitude': '-93.08795549'}",1,7,5,48,Male,St. Paul,55107,No,None,No,4,Yes,30,Driver turning from EB Plato to NB Wabasha struck pedestrian.  Pedestrian had the right of way.  Driver cited.,18,
24,Pedestrian,No,2016-05-09T13:22:00.000,16-089997,Western District,1490 University Ave W,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.954249', 'longitude': '-93.162916'}",1,17,7,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,,,
25,Pedestrian,Yes,2018-01-10T06:45:00.000,18-006203,Central District,Jackson St & Rose,City,No,None,,,,Female,St. Paul,55106,,,,"{'latitude': '44.97651944', 'longitude': '-93.09639925'}",1,3,3,50,Male,Richfield,55423,Yes,Possible Injury,Yes,2,Yes,30,"Pedestrian was crossing Rose SB on E side of Jackson.  Vehicle was SB Jackson and turned right onto EB Rose, striking the pedestrian.",65,
26,Pedestrian,Yes,2017-03-26T12:09:00.000,17-065076,Central District,9th St E & Temperence,Municipal State Aid,No,None,,,,Male,St. Paul,55101,,,,"{'latitude': '44.95156339', 'longitude': '-93.09132439'}",1,12,5,7,Male,Columbia Heights,55421,Yes,Suspected Minor Injury,Yes,2,No,30,"Vehicle was westbound on 9th Street, turned left onto southbound Temperance.  Pedestrian darted across street (7 y/o child) and ran into side of vehicle.  Minor injuries.  No citations issued.",41,
27,Bike,No,2016-07-14T14:40:00.000,16-141420,Eastern District,7th St E & Johnson Pkwy,County - State Aid Highway,No,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.966713', 'longitude': '-93.045003'}",1,15,1,,,,,,,,3,Yes,30,,,
28,Pedestrian,Yes,2018-07-30T16:50:00.000,18-170093,Eastern District,Lawson Ave E & Desoto St,City,No,None,,,,Female,St. Paul,55106,,,,"{'latitude': '44.97201087', 'longitude': '-93.08241848'}",1,13,3,6,Male,Brooklyn Park,55443,Yes,Possible Injury,Yes,2,No,30,Pedestrian was crossing mid-block and did not have the right of way.,27,
29,Pedestrian,Yes,2016-06-10T16:45:00.000,16-115454,Eastern District,Payne Ave & 7th Street,State - Trunk Highway,Yes,Driver,,,,Male,Maplewood,55119,,,,"{'latitude': '44.955898', 'longitude': '-93.078237'}",1,13,2,56,Male,St. Paul,55101,Yes,Suspected Serious Injury,Yes,,,,,29,
30,Bike,Yes,2017-07-13T14:30:00.000,17-162182,Western District,Snelling Ave N & Englewood,State - Trunk Highway,No,None,Male,St. Paul,55117,Male,St. Paul,55104,No,None,No,"{'latitude': '44.96404944', 'longitude': '-93.16688191'}",1,4,4,,,,,,,,4,No,30,"Driver was WB Englewood, making a right to NB Snelling.  Biker was NB on E sidewalk and struck vehicle that was making turn.  Driver said he did not see the bike.  Bike left prior to police arriving.  No citations.",22,53
31,Pedestrian,Yes,2017-02-14T10:07:00.000,17-032567,Eastern District,Payne Ave & York,Munincipal State Aid,Yes,Driver,,,,Male,Brooklyn Park,55443,,,,"{'latitude': '44.954883', 'longitude': '-93.12634939'}",1,9,7,58,Female,St. Paul,55106,Yes,Possible Injury,No,2,No,30,"Vehicle was SB on Payne, making a left turn onto EB York.  Pedestrian was crossing York in E unmarked crosswalk.  Vehicle struck pedestrian. Minor injury to pedestrian.  Driver cited for failure to yield to pedestrian.",55,
32,Pedestrian,Yes,2017-01-20T07:34:00.000,17-013737,Western District,Selby Ave & Western St N,County - State Aid Highway,No,None,,,,Female,Maple Grove,55311,,,,"{'latitude': '44.94660811', 'longitude': '-93.11620246'}",1,9,7,37,Female,St. Paul,55101,Yes,Possible Injury,Yes,2,No,30,"Vehicle was EB Selby at Western.  Pedestrian was crossing SB in West crosswalk.  Driver stated she was coming to a stop at the stop sign right as the pedestrian was at her vehicle, and ran over the pedestrians foot.  Driver stated she did not see the pedestrian because it was dark and the pedestrian was wearing dark clothing.",26,
33,Pedestrian,Yes,2018-01-09T11:56:00.000,18-005687,Central District,12 St E & Robert St N,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55117,,,,"{'latitude': '44.95300749', 'longitude': '-93.09623063'}",1,12,5,55,Male,Blaine,55449,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Driver was WB on 12th Street, making a left turn onto SB Robert.  Pedestrian was crossing Robert St WB in crosswalk with a walk signal.  Witness confirmed. Driver turned left and struck pedestrian.  Driver said he did not see the pedestrian.  Pedestrian sustained a concussion and was disoriented.",72,
34,Bike,Yes,2016-10-19T17:59:00.000,16-215616,Central District,Robert St N & 12th Street,County - State Aid Highway,No,None,Male,St. Paul,55101,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.953252', 'longitude': '-93.096845'}",1,12,5,,,,,,,,2,No,30,Unknown - bike hit by car,,55
35,Pedestrian,Yes,2017-08-18T19:55:00.000,17-194337,Western District,Western Ave N & Virginia,Parking Lot,No,None,,,,Female,St. Paul,55103,,,,"{'latitude': '44.953076', 'longitude': '-93.115097'}",1,9,7,51,Male,St. Paul,55104,No,None,No,Private,No,10,Pedestrian was in parking lot when struck by hit and run vehicle.,41,
36,Pedestrian,Yes,2017-07-04T14:21:00.000,17-153318,Western District,1450 University Ave W (Walmart),Parking Lot,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.955134', 'longitude': '-93.160424'}",1,17,7,62,Male,Minneapolis,55406,Yes,Suspected Minor Injury,No,Private,No,10,"Pedestrian was putting groceries in the trunk of their car.  Driver backed into pedestrian, pinning him between the cars.  Driver then fled.",,
37,Pedestrian,Yes,2016-10-06T10:37:00.000,16-204866,Western District,University Ave W & Transfer Rd,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.95991583', 'longitude': '-93.18736852'}",1,1,4,35,Male,Richfield,55423,Yes,Suspected Minor Injury,Yes,5,Yes,30,,,
38,Pedestrian,Yes,2016-01-01T01:08:00.000,16-000056,Central District,7th Street & Homer,State - Trunk Highway,Yes,Pedestrian,,,,Female,"La Crosse, WI",54603,,,,"{'latitude': '44.908633', 'longitude': '-93.155782'}",1,6,6,26,Male,St. Paul,55104,Yes,Suspected Minor Injury,Yes,4,,,,22,
39,Bike,Yes,2018-08-14T08:54:00.000,18-183310,Eastern District,Payne Ave & Minnehaha,Municiapl State Aid,No,None,Male,St. Paul,55130,Male,St. Paul,55101,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.96333697', 'longitude': '-93.07351338'}",1,13,1,,,,,,,,3,No,30,Motorcycle entering roadway was struck by a biker riding on sidewalk at high rate of speed.,41,17
40,Pedestrian,Yes,2017-09-27T08:06:00.000,17-228594,Western District,7th St W & Albion St,State - Trunk Highway,Yes,Driver,,,,Female,Minneapolis,55416,,,,"{'latitude': '44.91434231', 'longitude': '-93.1465634'}",1,6,6,59,Female,St. Paul,55102,Yes,Suspected Minor Injury,Yes,2,Yes,30,Driver was SB Albion making left to EB 7th Street.  Pedestrian was NB in E x-walk with walk sign.  Driver said sun was in eyes and could not see.  Driver cited for FTY pedestrian.,36,
41,Pedestrian,Yes,2018-03-07T18:44:00.000,18-047677,Central District,George St W & Stryker,Municiapl State Aid,No,None,,,,Male,Inver Grove Heights,55076,,,,"{'latitude': '44.92972846', 'longitude': '-93.08811793'}",1,7,5,88,Male,St. Paul,55107,Yes,Suspected Minor Injury,Yes,2,No,30,"The driver was driving northbound on Stryker Ave. towards George St. West. Driver said that he heard a ""thump, thump"" on the right side of the car. Driver stopped right away, looked in his rearview mirror and saw someone fall over. The pedestrian had been hit by the passenger side mirror.",60,
42,Bike,Yes,2016-05-23T15:36:00.000,16-100807,Western District,University Ave W & Victoria St,County - State Aid Highway,No,None,Male,St. Paul,55104,Male,Cottage Grove,55016,Yes,Possible Injury,No,"{'latitude': '44.955649', 'longitude': '-93.136481'}",1,9,7,,,,,,,,,,,,18,12
43,Bike,No,2016-10-18T17:45:00.000,16-214646,Central District,Randolph Ave & View St,County - State Aid Highway,No,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.926875', 'longitude': '-93.133102'}",1,11,5,,,,,,,,2,No,30,Unknown - no report,,
44,Bike,Yes,2017-07-13T20:57:00.000,17-162475,Western District,Dale St N & Summit Ave,Municipal State Aid,No,None,Female,St. Paul,55108,Female,Excelsior,55331,No,None,No,"{'latitude': '44.94136018', 'longitude': '-93.12598772'}",1,9,7,,,,,,,,3,Yes,30,Driver was trying to park on Summit and was partially in the bike lane.  Biker was WB Summit and rode into vehicle.  No citations.,20,28
45,Pedestrian,Yes,2017-03-02T10:01:00.000,17-045347,Central District,St. Peter Street & Exchange,Municipal State Aid,Driver,Yes,,,,Female,St. Paul,55102,,,,"{'latitude': '44.948474', 'longitude': '-93.098888'}",1,12,5,21,Male,St. Paul,55101,Yes,Suspected Minor Injury,Yes,2,Yes,30,"Vehicle was SB on St. Peter, making a left turn onto EB Exchange.  Pedestrian was SB in E x-walk at Exchange, crossing with signal.  Driver admitted not seeing the pedestrian, claimed the sun was blocking vision.  Driver cited for failure to yield to pedestrian.  Pedestrian transported to hospital with non-life threatening injuries.",45,
46,Pedestrian,Yes,2017-05-13T16:44:00.000,17-107092,Western District,University Ave W & Snelling Ave N,County - State Aid Highway,No,None,,,,Male,St. Paul,55104,,,,"{'latitude': '44.95552468', 'longitude': '-93.16726043'}",1,17,4,17,Female,Maplewood,55109,Yes,Suspected Serious Injury,Yes,6,Traffic Signal,30,"Pedestrian was crossing NB Snelling in W crosswalk, with walk sign.  Vehicle was EB University with a red light.  Vehicle entered intersection against red light and struck pedestrian.  Pedestrian suffered a concussion, broken teeth and other non-life threatening injuries.  Due to possibility of higher charges, driver was not cited at this time and crash will be investigated further.",23,
47,Pedestrian,Yes,2016-08-13T02:16:00.000,16-161964,Central District,305 Exchange Street,Private Parking Lot,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.940585', 'longitude': '-93.105287'}",1,11,5,81,Female,St. Paul,55102,Yes,Possible Injury,No,Private,No,10,,,
48,Bike,Yes,2017-08-28T20:36:00.000,17-203146,Eastern District,White Bear Ave N & Maryland Ave E,County - State Aid Highway,No,None,Female,St. Paul,55106,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,"{'latitude': '44.9774918', 'longitude': '-93.02535896'}",1,14,1,,,,,,,,4,Yes,30,Driver SB White Bear.  Biker EB Maryland in S x-walk.  Driver fled scene.,,53
49,Pedestrian,Yes,2017-10-24T16:44:00.000,17-250365,Central District,Rice St & Arlington Ave W,County - State Aid Highway,Yes,Driver,,,,Female,Little Canada,55117,,,,"{'latitude': '44.98457181', 'longitude': '-93.10586847'}",1,3,3,22,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,4,Yes,30,Vehicle was WB Arlington making left to SB Rice.  Ped crossing WB in S Xwalk with right of way.  Vehicle struck ped.  Witness observed driver distracted by cell phone.,49,
50,Bike,Yes,2018-08-02T17:38:00.000,18-172941,Western District,Grand Ave & Fairview,Municiapl State Aid,Yes,Driver,Female,St. Paul,55116,Male,St. Paul,55103,Yes,Suspected Minor Injury,No,"{'latitude': '44.940095', 'longitude': '-93.177192'}",1,5,6,,,,,,,,3,Yes,30,"Driver was SB on Fairview and turned into the bank parking lot, striking a biker who was in the bike lane.  Driver cited.",36,41
51,Bike,Yes,2016-06-26T17:47:00.000,16-128018,Eastern District,Maryland Ave E & Frank Street,City Street,No,None,Male,St. Paul,55119,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.97760352', 'longitude': '-93.05331782'}",1,13,1,,,,,,,,,,,,,18
52,Pedestrian,Yes,2018-04-17T19:40:00.000,18-078469,Western District,Vandalia Ave & Wabash Ave,Municiapl State Aid,Yes,Driver,,,,Female,South St. Paul,55075,,,,"{'latitude': '44.95877342', 'longitude': '-93.19116893'}",1,1,4,23,Female,St. Paul,55105,Yes,Suspected Minor Injury,Yes,5,No,30,"Driver was NB on Vandalia approaching Wabash.  Vehicle in right lane slowed and stopped for a pedestrian in the crosswalk.  Driver moved to the left lane to pass the stopped vehicle, and did not see or check for a pedestrian.  Driver struck the pedestrian causing signifigant injury.  Driver did not have insurance.  Driver cited for no insurance and fail to yield to pedestrian.",35,
53,Pedestrian,Yes,2018-06-15T14:05:00.000,18-129771,Eastern District,White Bear Ave N & Old Hudson Rd,Private,No,None,,,,Male,Unknown,Unknown,,,,"{'latitude': '44.95246593', 'longitude': '-93.02532278'}",1,16,2,26,Male,St. Paul,55119,Yes,Suspected Minor Injury,No,Parking Lot,No,10,"Manager of the SA store stopped a shoplifter in the parking lot.  The shoplifter got into a vehicle and drove into the manager, then fled.",,
54,Pedestrian,Yes,2016-09-24T13:53:00.000,16-195384,Eastern District,Arcade St & Cottage,State - Trunk Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.98280007', 'longitude': '-93.06603244'}",1,13,1,17,Male,St. Paul,55106,Yes,Suspected Minor Injury,No,4,No,30,,,
55,Bike,Yes,2016-11-13T11:31:00.000,16-233691,Central District,Maryland Ave W & Rice Street,County - State Aid Highway,No,None,Male,St. Paul,55106,Female,St. Paul,55130,Yes,Possible Injury,Yes,"{'latitude': '44.977385', 'longitude': '-93.105921'}",1,3,3,,,,,,,,4,No,30,Vehicle entering Maryland from parking lot struck bikes who were riding on the sidewalk.,31,10
56,Pedestrian,Yes,2016-12-13T09:04:00.000,16-254825,Eastern District,Flandrau St & Stillwater Ave E,City Street,No,None,,,,Female,South St. Paul,55075,,,,"{'latitude': '44.94749722', 'longitude': '-93.09615693'}",1,12,5,6,Unknown,Unknown,Unknown,No,None,No,2,No,30,"On 12/13/2016 at approximately 0905 hours, Vehicle #1 (WB Stillwater just West of Flandreau) attempted to stop when a child ran in between two parked cars then ran across the street in front of Vehicle #1. Vehicle #1 applied the brake and the bus slid due to road conditions. The child fell in between the two front bus tires and his right pant leg was underneath the driver side front tire. The child was able to get up and walk normally after the incident. Unable to locate the child.",59,
57,Bike,Yes,2018-06-26T20:47:00.000,18-140166,Western District,University Ave W & Vandalia Ave,County - State Aid Highway,Yes,Driver,Male,St. Paul,55107,Male,Stillwater,55082,Yes,Possible Injury,Yes,"{'latitude': '44.95561613', 'longitude': '-93.1770799'}",1,17,4,,,,,,,,4,Yes,30,Driver struck bike who was crossing in a crosswalk.  Driver cited for fail to drive with due care.,61,56
58,Pedestrian,Yes,2016-01-14T17:07:00.000,16-009015,Central District,7th St E & Robert St N,State - Trunk Highway,No,,,,,Male,Wyoming,55092,,,,"{'latitude': '44.94975058', 'longitude': '-93.09311752'}",1,12,5,54,Female,Minneapolis,55407,Yes,Suspected Minor Injury,Yes,,,,,50,
59,Pedestrian,Yes,2017-06-20T12:39:00.000,17-140442,Eastern District,Maryland Ave E & Arkwright St N,Municipal State Aid,Yes,Driver,,,,Female,Burnsville,55337,,,,"{'latitude': '44.97739725', 'longitude': '-93.0837077'}",1,13,3,49,Female,St. Paul,55117,Yes,Possible Injury,Yes,4,No,30,"Unit 2 struck two pedestrians in the crosswalk. Unit 1 stated that
she was lifting her visor when this happened and did not see the pedestrians A witness stated that she was moving very slow.  Driver cited for FTY Ped.",38,
60,Bike,No,2016-06-28T23:13:00.000,16-129846,Central District,Wabasha St S & Plato St,City Street,No,None,Male,North Branch,55056,Male,St. Paul,55107,No,None,No,"{'latitude': '44.937374', 'longitude': '-93.087776'}",1,7,5,,,,,,,,,,,,25,20
61,Pedestrian,Yes,2017-04-17T16:00:00.000,17-084045,Eastern District,White Bear Ave N & Case Ave,County - State Aid Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.970293', 'longitude': '-93.025283'}",1,14,1,9,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Pedestrians were crossing eastbound in the north crosswalk of White Bear & Case.  Vehicle was EB case, turning left to NB whitebear and struck pedestrians.  Witnesses believed driver was distracted by phone.  Driver stated the sun was obstructing view.  Driver cited for failure to yield to pedestrian.",30,
62,Pedestrian,Yes,2017-06-13T12:14:00.000,17-135244,Western District,Dayton Ave & Summit,City,Yes,Driver,,,,Male,Cannon Falls,55009,,,,"{'latitude': '44.947628', 'longitude': '-93.107691'}",1,12,5,46,Male,"ALENCON, 61, FRANCE",Unknown,Yes,Suspected Serious Injury,Yes,2,No,30,"Driver was going too fast and not paying attention.  A vehicle in front of him stopped to let pedestrians cross in a marked crosswalk.  Driver slammed on brakes, but couldn't stop, striking the stopped car and then going onto sidewalk and striking pedestrian.  Driver cited.",34,
63,Pedestrian,Yes,2018-02-10T20:24:00.000,18-029460,Eastern District,Minnehaha Ave E & Barclay St,State - Trunk Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.96320699', 'longitude': '-93.03849367'}",1,14,2,28,Female,St. Paul,55106,Yes,Suspected Minor Injury,Yes,4,No,30,Vehicle was WB on Minnehaha and struck a parked vehicle.  The parked vehicle then went onto the sidewalk and struck a pedestrian.,49,
64,Pedestrian,Yes,2017-08-12T16:52:00.000,17-189192,Eastern District,Ross Ave E & Atlantic St,City,Yes,Driver,,,,Female,St. Paul,55130,,,,"{'latitude': '44.96532781', 'longitude': '-93.04830172'}",1,15,1,35,Male,St. Paul,55104,Yes,Possible Injury,Yes,2,Stop Sign,30,Driver made left turn out of the alley between Bush and Ross towards Atlantic.  Pedestrian crossing street.  Driver admitted accelerating accidentally and striking the pedestrian and a parked vehicle.  Driver cited.,22,
65,Bike,Yes,2017-12-11T07:03:00.000,17-284521,Western District,Marshall Ave W & Mississippi River Blvd,County - State Aid Highway,No,None,Male,St. Paul,55104,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,,"{'latitude': '44.94841323', 'longitude': '-93.20055928'}",1,17,4,,,,,,,,4,No,30,"Driver and Biker were WB on Marshall from MRB.  Driver got too close to bike, causing bike to fall over.  Vehicle did not stop, limited suspect info.",,37
66,Pedestrian,No,2016-11-08T14:59:00.000,16-230148,Eastern District,White Bear Ave N & Suburban,County - State Aid Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.949685', 'longitude': '-93.025222'}",1,16,2,37,Female,St. Paul,55119,Yes,Suspected Minor Injury,Yes,4,Yes,30,"Vehicle made left turn, striking pedestrian who was crossing legally in a marked x-walk.  Driver cited",37,
67,Pedestrian,Yes,2018-04-09T07:37:00.000,18-071865,Western District,Cretin Ave N & Marshall Ave,County - State Aid Highway,No,None,,,,Female,Apple Valley,55124,,,,"{'latitude': '44.94843187', 'longitude': '-93.19249632'}",1,17,4,44,Male,St. Paul,55104,No,None,No,3,Yes,30,Unit one was traveling westbound on Marshall Avenue and was turning right on a green light towards Cretin Avenue North and hit unit two while unit two was walking from the northeast corner of the intersection to the northwest corner of the intersection in a marked crosswalk and unit two had a walk signal. No apparent injuries reported on scene.,19,
68,Bike,Yes,2016-09-09T07:35:00.000,16-183238,Western District,Jefferson Ave & Milton St,Municipal Aid Street,Yes,Driver,Female,St. Paul,55102,Female,Hastings,55033,Yes,Suspected Minor Injury,No,"{'latitude': '44.930608', 'longitude': '-93.13897'}",1,11,5,,,,,,,,2,No,30,,27,30
